Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Mauritius,MUS,2022,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,48.68591
Mauritius,MUS,2020,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,51.93824
Mauritius,MUS,2018,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,53.3709
Mauritius,MUS,2016,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,56.84264
Mauritius,MUS,2014,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,59.52948
Mauritius,MUS,2012,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,62.16985
Mauritius,MUS,2010,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,64.81973
Mauritius,MUS,2008,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,67.40634
Mauritius,MUS,2006,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,69.89404
Mauritius,MUS,2004,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,72.35662
Mauritius,MUS,2002,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,74.76156
Mauritius,MUS,2000,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,76.73784
Mauritius,MUS,2017,Income share held by second 20%,SI.DST.02ND.20,11.6
Mauritius,MUS,2012,Income share held by second 20%,SI.DST.02ND.20,11.2
Mauritius,MUS,2006,Income share held by second 20%,SI.DST.02ND.20,11.7
Mauritius,MUS,2017,Income share held by third 20%,SI.DST.03RD.20,15.5
Mauritius,MUS,2012,Income share held by third 20%,SI.DST.03RD.20,15.1
Mauritius,MUS,2006,Income share held by third 20%,SI.DST.03RD.20,15.5
Mauritius,MUS,2017,Income share held by fourth 20%,SI.DST.04TH.20,21.1
Mauritius,MUS,2012,Income share held by fourth 20%,SI.DST.04TH.20,20.6
Mauritius,MUS,2006,Income share held by fourth 20%,SI.DST.04TH.20,21.4
Mauritius,MUS,2017,Income share held by highest 20%,SI.DST.05TH.20,44.6
Mauritius,MUS,2012,Income share held by highest 20%,SI.DST.05TH.20,46.2
Mauritius,MUS,2006,Income share held by highest 20%,SI.DST.05TH.20,43.8
Mauritius,MUS,2017,Income share held by highest 10%,SI.DST.10TH.10,29.9
Mauritius,MUS,2012,Income share held by highest 10%,SI.DST.10TH.10,31.6
Mauritius,MUS,2006,Income share held by highest 10%,SI.DST.10TH.10,28.7
Mauritius,MUS,2017,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,10.9
Mauritius,MUS,2012,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,10.7
Mauritius,MUS,2006,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,9.7
Mauritius,MUS,2017,Income share held by lowest 10%,SI.DST.FRST.10,2.9
Mauritius,MUS,2012,Income share held by lowest 10%,SI.DST.FRST.10,2.8
