Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Mauritius,MUS,"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.814134084,0.811526906,1.587756135,1.055941557,2.050542843,0.875114202,1.372387562,0.821265999,1.125353897,1.636979385,1.890161274,,,1.781773643,1.129348293,2.108564539,2.023409584,1.945482676,2.767106651,2.513837892,1.252187415,1.247667447,1.555650277,1.709242339,1.242390359,0.931771787,1.553756478,2.021927021,2.180658185,0.936356621,1.720240427,1.880829101,1.569537167,,,
Mauritius,MUS,Voice and Accountability: Standard Error,VA.STD.ERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27966994,,0.259545743,,0.230182216,,0.189659297,0.163341448,0.159774795,0.161858335,0.137786254,0.138507947,0.136813104,0.139444098,0.136108354,0.134295776,0.131787241,0.123555258,0.132539228,0.131694272,0.129205108,0.129886687,0.135816172,0.127575159,0.130096287,0.125227183,0.124912925,0.122817092,,
Mauritius,MUS,Voice and Accountability: Number of Sources,VA.NO.SRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,6,,8,9,10,10,11,11,11,11,11,13,13,14,12,12,12,12,12,11,10,10,10,10,,
Mauritius,MUS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.475826289,2.007739393,0.693280226,0.800067417,0.929231405,0.575721802,0.029875207,0.114086428,0.108502819,2.385411188,2.597959071,2.143794724,2.305358037,0.386204361,2.067079625,1.014538901,1.217035386,
Mauritius,MUS,Export value index (2015 = 100),TX.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,16.33030833,12.46292692,13.76118055,13.75866419,13.9872022,16.52617122,25.38187824,33.05121572,37.44883536,37.02203077,44.83513875,44.84265027,48.91652337,48.78169158,50.5810763,57.78292129,67.69379229,59.81498609,61.80873127,59.66659163,58.49371193,61.15504433,67.67726225,71.30823035,74.87758649,80.5,87.5,84.1,89.6,72.8,85,96.4,99.5,107.8,116.2,100,88.6,88,88.9,83.5,67.2,73.7,89.7,86.2,,
Mauritius,MUS,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,0.806451613,0.168918919,0.84317032,0.365853659,0.661375661,3.668261563,0.145985401,,2.396166134,3.411363007,3.187809387,7.043456259,4.157923908,3.053386505,4.99707726,1.75556572,3.078246182,3.411661072,3.417667123,1.387368961,1.694006264,2.598716316,1.880900013,1.506352706,1.871987383,1.055182548,0.83434057,0.921768409,1.011437019,1.403187139,2.002653695,1.824776786,2.796299168,1.648351648,3.706512043,4.086270132,5.15628046,5.55521378,6.035106139,6.394221385,7.199333134,8.619995786,6.880066915,9.653637232,8.484611248,8.355044676,8.408056309,10.62690227,11.38271902,12.54079451,13.45275595,15.54100546,18.64862224,16.37631023,14.71176991,17.28804656,18.24116833,20.03926234,21.75987923,22.17063074,23.49505578,26.43145409,30.38573506,24.60819172,,
Mauritius,MUS,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000300935,,,,,,0.012996296,0.003075977,0.018450583,0.047171864,0.012270421,0.010828221,0.07978229,0.181268774,0.327568115,0.389379098,0.104307374,0.211778517,0.218798629,0.185369812,0.19150662,0.224936013,0.254473682,0.277762341,0.178727647,0.160242722,0.105725287,0.247046698,0.116932362,0.201072652,0.212068076,0.147908715,0.188149397,0.239796401,,
Mauritius,MUS,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,39000000,62000000,64000000,90000000,77000000,66000000,71000000,63000000,64000000,66000000,69000000,66000000,106000000,137000000,312000000,298000000,265000000,309000000,325000000,381000000,431000000,332000000,364000000,366000000,372000000,436000000,662000000,884000000,994000000,986000000,1194000000,1195000000,1302000000,1299000000,1347000000,1538000000,1802000000,1592000000,1645000000,1554000000,1557000000,1628000000,1801000000,1898000000,1993000000,2143000000,2329000000,2238000000,2384000000,1939000000,2261000000,2565000000,2649000000,2869000000,3094000000,2662000000,2359000000,2342000000,2366000000,2223000000,1789000000,1962000000,2388000000,2295000000,2368000000,
Mauritius,MUS,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,,,,,,,,,,,,,,,,,0.078534031,0.017182131,0.089418778,0.01283697,0.187192118,0.237610319,0.227586207,0.218790219,0.150812065,0.166852058,0.155228758,0.119378123,0.106244579,0.110576066,0.098563785,0.139415434,0.028020623,0.014132849,0.017703815,0.014887599,0.011663848,0.010681478,0.013730606,4.479222882,5.912254408,6.703231093,1.883125627,1.675085137,1.684015923,1.27920093,1.641874558,1.915294438,2.485353776,4.455272059,3.183150665,6.627049442,5.740380504,4.441424599,5.149527777,4.385853806,2.770515404,4.195493997,3.885803268,3.852984173,6.578773373,8.200388464,5.362733477,5.631866272,5.615709852,
Mauritius,MUS,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,,,,,,0.080649874,0.079580997,0.062745714,0.069207555,0.141916912,0.118143309,0.219308189,0.205049383,0.349102185,,,,,,,,,,0.260866569,,0.523951728,0.566122663,0.565242717,0.595951845,0.579416774,0.666428665,0.542483448,0.51961049,0.496065947,0.46189173,0.506254362,0.534920948,0.47041524,0.470415208,0.479708065,0.170052302,0.472446086,0.533959591,0.608186244,0.932875618,0.522397134,0.484674739,0.364667602,0.335406171,0.317003793,0.348322685,0.413334261,1.203429111,1.053348284,1.248177152,1.262981098,0.597007514,0.798573049,0.861806305,0.634368691,
Mauritius,MUS,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,77.71571792,69.24477391,65.57423793,67.00089263,68.33382044,67.45026146,73.10569463,80.98023358,81.18495889,78.41585952,77.82626659,79.12279861,78.25112032,76.09086099,74.9563363,74.35132066,76.18489983,76.77414817,79.12279861,81.4450436,84.01699234,82.75432233,87.58967472,121.1975701,117.0249758,106.7,100.8,100.3,88.9,94,84.9,82.9,83.6,88.7,88.1,100,106.7,99.9,94.3,97.3,101.6,93.6,74.7,88.2,,
